notice_year,cases_noticed,reached_lockout,left_without_lockout,lockout_rate_pct
2005,2105,1541,564,73.2
2006,2025,1441,584,71.2
2007,2195,1554,641,70.8
2008,2167,1487,680,68.6
2009,2108,1404,704,66.6
2010,2170,1421,749,65.5
2011,2196,1368,828,62.3
2012,2125,1416,709,66.6
2013,2069,1222,847,59.1
2014,2009,1072,937,53.4
2015,1888,906,982,48.0
2017,1637,871,766,53.2
2018,1352,757,595,56.0
2019,1357,811,546,59.8
2020,326,175,151,53.7
2021,472,346,126,73.3
2022,939,624,315,66.5
2023,1515,892,623,58.9
2024,1393,595,798,42.7
2025,667,271,396,40.6
