year,notice_events,lockout_events,total_events,cases_noticed,cases_lockout,unique_cases,zip_codes_affected
2005,2162,1575,3737,2105,1568,2170,13
2006,2103,1444,3547,2034,1443,2066,11
2007,2277,1556,3833,2203,1556,2235,11
2008,2257,1484,3741,2177,1483,2244,11
2009,2229,1467,3696,2133,1464,2211,11
2010,2246,1416,3662,2181,1416,2232,11
2011,2276,1359,3635,2210,1358,2282,11
2012,2216,1460,3676,2142,1457,2219,11
2013,2134,1234,3368,2081,1232,2143,12
2014,2077,1096,3173,2018,1095,2094,11
2015,1950,970,2920,1899,970,1957,11
2017,1693,885,2578,1637,882,1684,11
2018,1394,765,2159,1357,764,1400,12
2019,1412,807,2219,1363,805,1397,11
2020,344,215,559,330,215,381,11
2021,493,346,839,476,346,493,11
2022,970,586,1556,939,585,969,11
2023,1549,864,2413,1526,864,1598,12
2024,1442,596,2038,1407,593,1509,12
2025,695,391,1086,679,391,792,12
